tweet_id,created_at,full_text,user_id,in_reply_to_status_id,retweet_count,favorite_count,lang,tweet_id_str
1031533689388376064,2018-08-20 13:29:31+00,"RT @ellle_em: when I find myself in times of trouble
brother Mario comes to me
speaking words of wisdom ""it's a me""",36823,,15439,68000,en,1031533689388376064
839978073952927745,2017-03-09 23:15:53+00,he should try not being dead https://t.co/i0XaEz737p,19795883,,19637,51183,en,839978073952927745
937701875104780288,2017-12-04 15:15:23+00,RT @helfitzgerald: that Schoolhouse Rock how a bill becomes a law song but now it’s death metal and all the lyrics are just incomprehensibl…,172809850,,1798,4600,en,937701875104780288
1017141762547167232,2018-07-11 20:21:08+00,FUCK.,216299334,,1715,9000,en,1017141762547167232
1017441792596299776,2018-07-12 16:13:21+00,https://t.co/2hJ4Z9mKpe,4791513202,,95060,175787,zxx,1017441792596299776
1032339281988276224,2018-08-22 18:50:39+00,This truck just tried to sell me weed https://t.co/crlp1CJ7KI,1012673309589336066,,302,2381,en,1032339281988276224
1032341024813662208,2018-08-22 18:57:34+00,https://t.co/uyWFmARh4Z,23281847,,24094,135344,zxx,1032341024813662208
1032454030365261825,2018-08-23 02:26:37+00,update for yall who didnt think he believed me https://t.co/Mt26f8xC0r,343549476,1032152165467521024,2259,41769,en,1032454030365261825
1055524171764129793,2018-10-25 18:19:07+00,I’ve to piss,28440197,,56,578,en,1055524171764129793
1057094474227240960,2018-10-30 02:18:57+00,"nasa employee: oh hey u guys are back early 

astronaut: moon's haunted

nasa employee: what? 

astronaut: *loading a pistol and getting back on the rocket-ship* moon's haunted",65638857,,104831,363191,en,1057094474227240960
1092340085742276610,2019-02-04 08:32:25+00,Don’t make me get my leash https://t.co/ErQ2RhzDeg,866953267,,95694,483632,en,1092340085742276610
1118621889822429185,2019-04-17 21:06:56+00,"Lol that’s funny dude. Reminds me of something one of my mentally ill twitter friends said several months ago.. hang on just give me 45 minutes to find it so I can read it out loud for you,",282738697,,17867,69813,en,1118621889822429185
1119775428191723521,2019-04-21 01:30:41+00,alone and my thoughts...,16298441,,1436,7970,en,1119775428191723521
1147873756901191680,2019-07-07 14:23:24+00,Every boyfriend I’ve ever had https://t.co/NKWvwqtrxj,51893943,,125,1493,en,1147873756901191680
1147898217478180864,2019-07-07 16:00:36+00,Aw shit...I just realized that the U.S. is to the world what Boston is to the U.S.,21712110,,1171,9296,en,1147898217478180864
1173581080957530112,2019-09-16 12:55:08+00,German snakes be like hißß,563715315,,1551,7479,de,1173581080957530112
1181773495165947904,2019-10-09 03:28:52+00,"[Cher ""Believe"" voice] Can you retweet and like all my posts",41208129,,2760,16408,en,1181773495165947904
1187113234714841088,2019-10-23 21:07:05+00,"that’s wild asf how animals just eat meat with no honey mustard, bbq sauce or nothing. https://t.co/Qi5JLlLaN9",235703967,,84355,318950,en,1187113234714841088
1207468526258270209,2019-12-19 01:11:44+00,These random boys added me to a group chat for people named Garrett and I get to stay bc they’re being very kind and it’s probably the best thing that’s happened all day https://t.co/ohJMTURCqU,389838823,,43312,397367,en,1207468526258270209
1231942056953729025,2020-02-24 14:00:49+00,"Nü-Metal Doctor Asks You to Open Mouth and Say, “Ooh WA-AH-AH-AH-AH!” https://t.co/8Hi4Ygklav",2925441313,,210,983,en,1231942056953729025
126780301211992064,2011-10-19 22:02:33+00,Programming Skills: PRIMARILY RUBY AND PYTHON BUT I CAN USE ANY TYPE OF GEM TO CONTROL ANY TYPE OF SNAKE,188124096,,14410,24158,en,126780301211992064
1281338197230919680,2020-07-09 21:23:26+00,nba gossip is now called bubble tea,81411085,,3338,26913,en,1281338197230919680
1336409980346327040,2020-12-08 20:39:03+00,aw man what https://t.co/rpgRrFmnl0,14968484,,1418,10109,en,1336409980346327040
